,book_name,summary,categories
0,The Highly Sensitive Person," is a self-assessment guide and how-to-live template for people who feel, relate, process, and notice more deeply than others, and who frequently suffer from overstimulation as a result.",science
1,Why Has Nobody Told Me This Before?," is a collection of a clinical psychologist’s best practical advice to combat anxiety and depression and improve our mental health in small increments, collected from over a decade of 1-on-1 work with patients.",science
2,The Midnight Library," tells the story of Nora, a depressed woman in her 30s, who, on the day she decides to die, finds herself in a library full of lives she could have lived, where she discovers there’s a lot more to life, even her current one, than she had ever imagined.",science
3,Brave New World," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance.",science
4,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,science
5,Stolen Focus," explains why our attention spans have been dwindling for decades, how technology accelerates this worrying trend, and what we can do to reclaim our focus and thus our capacity to live meaningful lives.",science
6,The Life-Changing Science of Detecting Bullshit, teaches its readers how to avoid falling for the lies and false information that other people spread by helping them build essential thinking skills through examples from the real world.,science
7,Dopamine Nation,"talks about the importance of living a balanced life in relation to all the pleasure and stimuli we’re surrounded with on a daily basis, such as drugs, devices, porn, gambling facilities, showing us how to avoid becoming dopamine addicts by restricting our access to them. ",science
8,The Art of Statistics," is a non-technical book that shows how statistics is helping humans everywhere get a new hold of data, interpret numbers, fact-check information, and reveal valuable insights, all while keeping the world as we know it afloat.",science
9,No Self No Problem," is a provocative read about the implications of Buddhism in neuroscience, and more specifically about the idea that the self is only a product of the mind, meaning that there is no “I”.",science
10,The Highly Sensitive Person," is a self-assessment guide and how-to-live template for people who feel, relate, process, and notice more deeply than others, and who frequently suffer from overstimulation as a result.",science
11,Why Has Nobody Told Me This Before?," is a collection of a clinical psychologist’s best practical advice to combat anxiety and depression and improve our mental health in small increments, collected from over a decade of 1-on-1 work with patients.",science
12,The Midnight Library," tells the story of Nora, a depressed woman in her 30s, who, on the day she decides to die, finds herself in a library full of lives she could have lived, where she discovers there’s a lot more to life, even her current one, than she had ever imagined.",science
13,Brave New World," presents a futuristic society engineered perfectly around capitalism and scientific efficiency, in which everyone is happy, conform, and content — but only at first glance.",science
14,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,science
15,Stolen Focus," explains why our attention spans have been dwindling for decades, how technology accelerates this worrying trend, and what we can do to reclaim our focus and thus our capacity to live meaningful lives.",science
16,The Life-Changing Science of Detecting Bullshit, teaches its readers how to avoid falling for the lies and false information that other people spread by helping them build essential thinking skills through examples from the real world.,science
17,Dopamine Nation,"talks about the importance of living a balanced life in relation to all the pleasure and stimuli we’re surrounded with on a daily basis, such as drugs, devices, porn, gambling facilities, showing us how to avoid becoming dopamine addicts by restricting our access to them. ",science
18,The Art of Statistics," is a non-technical book that shows how statistics is helping humans everywhere get a new hold of data, interpret numbers, fact-check information, and reveal valuable insights, all while keeping the world as we know it afloat.",science
19,No Self No Problem," is a provocative read about the implications of Buddhism in neuroscience, and more specifically about the idea that the self is only a product of the mind, meaning that there is no “I”.",science
20,The Code Breaker," details the life of Nobel Prize winner Jennifer Doudna, who embarked on — and successfully completed — a journey to invent a tool that allows us to edit the human genetic code and thus will change our lives, health, and future generations forever.",science
21,Super Human," presents the groundbreaking discoveries of Dave Asprey (the CEO of Bulletproof) in the field of diet &amp; nutrition, biohacking, longevity, and offers a scientific view on how to live your best life and look like the best version of yourself by adopting practices acclaimed by bioengineers right away.",science
22,This Is Your Mind On Plants, ,science
23,The Undoing Project, talks about the life and extensive research in the psychology of Kahneman and Tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions.,science
24,The Dawn of Everything," tells the story of how we went from hunter-gatherers to city-builders, from the Stone Age to today’s modern world, all by exploring a series of new discoveries made by scientists who are challenging some long-held beliefs about our history.",science
25,One Decision," explains how flawed decisions occur and how you can avoid them by analyzing data at first, asking for fact-checked opinions, eliminating your biases and prejudice, and many more useful practices derived from psychological research.",science
26,Napoleon’s Buttons, explores the scientific phenomenon of molecules by highlighting how we can trace the origins of our entire existence to something as tiny as atoms and make sense of various events in history that shaped our world.,science
27,The Sovereign Individual," jumps into the future and presents a new world where life moves into the online environment, where the cybereconomy rules and governments are struggling to control the people like they used to, all through a revolution more powerful than anything we’ve seen before.",science
28,Keto Answers," is your go-to guide on how to get started with the ketogenic diet, its positive implications on your health and proneness to diseases like diabetes, and a fact-based study that debunks myths and assumptions about following a low-carb diet. ",science
29,Joyful," talks about the power of small things in our lives, from colors, shapes, and designs, to nature, architecture, and simple everyday occurrences on our happiness and how we can harness simplicity to achieve a meaningful life filled with joy.",science
30,Invisible Women," talks about the flaws in our societal system, which was built on the premise that men should rule and conquer the world while women should stay at home, which is why we’re still seeing gender gaps in the personal, professional, and day-to-day lives of women.",science
31,The Worldly Philosophers," is your hands-on guide to economics, how the world works overall but especially from a financial point of view, what are the social and economic systems that existed throughout history, and how certain people’s concepts got to shape the world we know today.",science
32,Brain Maker," argues that the relationship between your gut and your mind is stronger than you know, and proves how the microbiome is responsible for your overall health in the long run.",science
33,Tesla: Man Out of Time," presents the biography and remarkable life of Nikola Tesla, one of the most notable inventors and engineers of all time, while also highlighting his bumpy relationship with Thomas Edison and his heavy childhood.",science
34,The God Equation," presents a factual approach to the theory of life, the inception of the universe, and how modern physics lay the foundation of all natural laws that govern the galaxies, the planets, and our home called Earth.",science
35,Astrophysics for People in a Hurry," talks about the laws of nature, physics, astronomy, and the mysterious inception of our cosmos, the universe, stars, and implicitly our beautiful planet where life thrives and perpetuates.",science
36,Lifespan," addresses the concept of aging and defies the laws of nature that humankind knew till now by presenting a cure to aging that derives from exetensive research in biology, diet and nutrition, sports, and the science of combating diseases.",science
37,The Inner Life of Animals," presents complex research on animals and the life of our ecosystem, which is not so different than ours, given that they can feel pain, experience emotions, and share other similarities with us, humans.",science
38,Chaos," is a scientific piece of writing that presents the principles behind the Chaos Theory, which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universe’s evolution overall.",science
39,Unlimited Memory, explores the most effective ways to retain information and improve memory skills by teaching its readers some key aspects about the brain and explaining advanced learning strategies in an easy-to-follow manner.,science
40,Wintering," highlights the similarities between the cold season of the year and the period of hardship in a human life, by emphasizing how everything eventually passes in time, and how we can learn to embrace challenging times by learning from wolves, from the cold, and how our ancestors dealt with the winter.",science
41,The Shallows," explores the effects of the Internet on the human brain, which aren’t entirely positive, as our constant exposure to the online environment through digital devices strips our ability to target our focus and stay concentrated, all while modifying our brain neurologically and anatomically. ",science
42,Rationality," explores the concept of ration as the pylon of all human progress and how it sets us apart from all other species, helping us evolve and developing societal layers, rules of conduct, and moral grounds for all our endeavors in life.",science
43,The High 5 Habit," is a self-improvement book that aims to help anyone who deals with self-limitations take charge of their life by establishing a morning routine, ditching negative talk, and transforming their life through positivity and confidence.",science
44,Why Zebras Don’t Get Ulcers," explores the leading causes of stress and how to keep it under control, as well as the biological science behind stress, which can be a catalyst for performance in the short term, but a potential threat in the long run.",science
45,What Is Life?,"compresses a series of lectures given by the notorious physicist Erwin Schrödinger, and is a compelling research on how science, especially biology, chemistry and physics account for the ongoing process that the human body undertakes to simply exist and live",science
46,The Self-Discipline Blueprint," delves into the subject of self-actualization and why it is crucial for humans to achieve a fulfilled and successful life by creating a routine and becoming focused, self-disciplined and hard-working.",science
47,Stealing Fire, examines how a state of ecstasy can enhance the body-brain connection and allow humans to achieve excellent performance by accelerating their neural processes.,science
48,Brain Food," delves into the topic of nutrition and how certain foods and nutrients can affect the well-being of the brain, its memory function, its cognitive capability, and how what we ingest can reverse the brain’s inclination to develop certain diseases.",science
49,The Secret World of Weather," is a guide to forecasting weather through various clues found in nature, such as plants, the wind, or clouds, to come up with an accurate calculation of the weather without having to check the news.",science
50,Long Life Learning," questions the current educational systems worldwide in relation to an increasing trend in job automation, growing life expectancy, and a devaluation in higher degrees, all with a strong focus on the future of work and urgency to adapt to it.",science
51,The Genius of Dogs," explores the curious mind of man’s best friend in relation to human intelligence, as dogs and humans are connected and have many similarities that make the relationship between them so strong and unique. ",science
52,Forest Bathing," explores the Japanese tradition of shinrin-yoku, a kind of forest therapy based on immersion in nature, and the various health and wellbeing benefits we can derive from it to live better, calmer lives.",science
53,"Eat Better, Feel Better", is a go-to guide for combating modern dietary problems and adopting a healthier lifestyle.,science
54,How To Change," identifies the stumbling blocks that are in your way of reaching your goals and improving yourself and the research-backed ways to get over them, including how to beat some of the worst productivity and life problems like procrastination, laziness, and much more.",science
55,The Data Detective," will make you smarter by showing how you can understand statistics well enough to see how they, and the beliefs and cognitive biases they can make you have, make such a huge impact in your life, for better or for worse, and how to separate fact from fiction.",science
56,What Happened to You?," is Oprah’s look into trauma, including how traumatic experiences affect our brains throughout our lives, what they mean about the way we handle stress, and why we need to see it as both a problem with our society and our brains if we want to get through it.",science
57,The Great Escape," challenges the idea that the world is on fire by declaring that things have never been better in many ways, although the advancements we’ve made and the ways they have improved many lives haven’t reached everyone equally.",science
58,Ten Arguments For Deleting Your Social Media Accounts Right Now," shows why you should quit social media because it stops joy, makes you a jerk, erodes truth, kills empathy, takes free will, keeps the world insane, destroys authenticity, blocks economic dignity, makes politics a mess, and hates you.",science
59,The Emperor Of All Maladies," details the beginnings and progress in our understanding of cancer, including how we first started learning about it, began developing ways to treat it and discovered ways to prevent it, and the biological effect that it has on us.",science
60,The Double Helix," tells the story of the discovery of DNA, which is one of the most significant scientific findings in all of history, by explaining the rivalries, struggles of the prideful scientific community to work together, and other roadblocks that James Watson had on the way to making the breakthrough of a lifetime that would change his life and the entire world.",science
61,The Dark Net," dives into the details of the wildest and most dangerous parts of the digital world, including self-harmers, cryptocurrency programmers, computer scientists, hackers, extremists, pornographers, vigilantes, and much more.",science
62,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.",science
63,The End Of Illness, will change the way that you think of sickness and health by identifying the problems with the current mindset around them and how focusing on the systems within your body instead of disease will help you make better-informed decisions that will keep you on the path of good health.,science
64,The Grand Design," explains the history of mankind from a scientific perspective, including how we came into existence and started to use science to explain the world and ourselves with laws like Newton’s and Einstein’s and more recent theories like quantum physics.",science
65,I Contain Multitudes, will make you smarter and healthier by teaching you about the tiny ecosystems of microbes that live inside your body and on everything you see and by showing you how they affect your life and how to utilize them to improve your well-being.,science
66,The Science Of Storytelling," will make you better at persuasion, writing, and speaking by outlining the psychology of telling good tales, including why our brains like them and how to craft the perfect ones.",science
67,Mindful Work," is your guide to understanding how the practice of meditation got its roots in Western society, the many ways it radically improves your brain’s ability to do almost everything, and how it will improve your productivity.",science
68,Phantoms In The Brain, will make you smarter about your own mind by sharing what scientists have learned from some of the most interesting experiences of patients with neurological disorders.,science
69,Survival Of The Friendliest," explains why the #1 thing you can do for success is to focus on your social connections, how friendliness was the reason that our early ancestors survived as well as they did, and what you can do today to grow your social capital.",science
70,How To Avoid A Climate Disaster," is Bill Gates’ plea to the individuals, governments, and business leaders of the world to reduce greenhouse emissions by changing the way we make things, plug in, grow things, get around, and keep warm and cool.",science
71,Breath," is a fascinating and helpful guide to understanding the science of breathing, including how doing it slowly and through your nose is best for your lungs and body, and the many proven mental and physical benefits of being more mindful of how you inhale and exhale.",science
72,When The Body Says No," will help you become healthier by teaching you the truth behind the mind-body connection, revealing how your mental state does in fact affect your physical condition and how you can improve both.",science
73,The Soul Of An Octopus," will make you smarter about animal life in the ocean by explaining the fascinating abilities, brilliance, and personalities of octopuses.",science
74,Late Bloomers, will help you become more patient with the speed of your progress by identifying the damaging influences of early achievement culture and societal pressure and how to be proud of reaching your peak later in life.,science
75,Limitless," shows you how to unlock the full potential that your brain has for memory, reading, learning, and much more by showing you how to take the brakes off of your mental powers with tools like mindset, visualization, music, and more.",science
76,Eat To Beat Disease, will help you be healthier and fight off infection by identifying how food affects your immune system and what to put into your body that will make you more resilient against illness.,science
77,The Hot Zone," is Richard Preston’s version of a terrifying true story of how the Ebola virus came to be, why it’s so deadly and contagious, and how this all reveals our massive vulnerabilities and inefficiencies when it comes to fending off pandemics of all kinds.",science
78,The Beautiful Cure, makes you smarter by showing you how your immune system works and how recent advancements in our understanding of it can help us improve our health like never before.,science
79,The Telomere Effect, shows you how to live healthier and stay younger longer by identifying an important part of your physiology that you might have never heard of and teaching you how to take great care of it.,science
80,Suggestible You," helps you understand and utilize the power of your mind-body connection by explaining the effect that your thoughts have on your body, including pain, illness, and memory and how to take advantage of it.",science
81,Energy," makes you smarter by helping you understand where this important aspect of our lives comes from, how we’ve used it throughout history to get to where we are today, and why we need to be careful about how we consume it so that we can have a better future.",science
82,The Sleep Solution," improves your quality of life by identifying the myths surrounding rest that keep you from getting more of it, showing you why they’re false, and teaching you how to establish proper sleep hygiene. ",science
83,The Order Of Time," expands your mind by shattering your commonly held beliefs about time, identifying how the way society views it is merely a construct of the mind and its actual characteristics are a lot more interesting than we all think.",science
84,Willpower Doesn’t Work, shows you how to change your life in a more efficient way than relying on sheer grit alone by identifying the importance of your environment and other factors that affect your productivity so you can become your best self.,science
85,Food Fix, will help you eat healthier and improve the environment at the same time by explaining how bad our food is for us and our planet and what we can each do to fix these problems.,science
86,Blueprint, helps you have hope for the goodness of the human race by revealing our biologically wired social tendencies that help us survive and thrive by working together.,science
87,The Unexpected Joy Of Being Sober, will help you have a happier and healthier life by persuasively revealing the many disadvantages of alcohol and the benefits of going without it permanently. ,science
88,Descartes’ Error, will help you understand why the argument that the mind and body are disconnected is false by using neuroscience and interesting case studies to identify how the body and our emotions play a vital role in logical thinking.,science
89,Personality Isn’t Permanent," will shatter your long-held beliefs that you’re stuck as yourself, flaws and all, by identifying why the person you are is changeable and giving you specific and actionable steps to change.",science
90,Deep Nutrition, will help you get healthier by explaining the danger of modern dieting techniques that are actually doing harm to your body and making you sick. ,science
91,My Age Of Anxiety," is your guide to understanding an aspect of mental illness that most of us don’t realize is so severe, showing it’s biological and environmental origins and ways to treat it.",science
92,The Body," helps you become smarter about how to take care of and use this mechanism that lets you have life by explaining how it’s put together, what happens on the inside, and how it works. ",science
93,Boost!, is a guide for becoming more productive at work by using the preparation and performance techniques that world-class athletes use to win gold medals.,science
94,AI Superpowers," will help you understand what to expect of the effect that artificial intelligence will have on your future job opportunities by diving into where China and the US, the world’s two leaders in AI, are heading with this breakthrough technology.",science
95,Doubt: A History," is a fascinating look at the historical influence of doubt on science, religion, and the way we think today.",science
96,What to Eat When," teaches us how food works inside our body and how to feed ourselves in a way that better suits our biology, making us healthier and stronger.",science
97,Comfortably Unaware, is a well-researched compendium on how our food choices and animal agriculture impact the well-being of the whole planet.,science
98,Pandemic," gives you an understanding of what pathogens and diseases are, how they evolve, what our lifestyle does to make them worse on us, how they can spread like wildfire, and most importantly, what we can do to stop them.",science
99,Social, explains how our innate drive to build social connections is the primary driver behind our behavior and explores ways we can use this knowledge to our advantage. ,science
100,A Brief History Of Everyone Who Ever Lived, gives you another important perspective on mankind’s past and present through the lens of our genes.,science
101,Cosmos," will make you smarter by teaching you the basics of how the universe works, including our own solar system and its history.",science
102,The Worry-Free Mind, helps free you of the shackles of all types of anxieties by identifying where they come from and what steps you need to take to regain control of your thinking patterns and become mentally healthy again.,science
103,Brief Answers To The Big Questions," tackles some of the universe’s biggest mysteries, as Hawking explores the laws that govern the cosmos and the future of humankind. ",science
104,Chernobyl," teaches some fascinating and important history, science, and leadership lessons by diving into the details of the events leading up to the worst nuclear disaster in human history and its aftermath.",science
105,Seven Brief Lessons On Physics," is your guide to getting up to speed with current theories on how the universe works by explaining general relativity and quantum mechanics, the two pillars of modern physics.",science
106,Brain Rules," teaches you how to become more productive at work and life by giving proven facts about how your mind works better with good sleep, exercise, and learning with all the senses.",science
107,Broadcasting Happiness," is an encouraging resource that will help you boost your health and happiness in your relationships, work, and community by showing you how to unlock the power of positive words and stories.",science
108,The Joy Of Movement, is just what you need to finally find the motivation to get out and exercise more often by teaching you the scientific reasons why it’s good for you and why your body is designed to enjoy it.,science
109,The Immortal Life of Henrietta Lacks, makes you smarter and more compassionate by revealing the previously unknown story of a woman with extraordinary cells that still live today and have contributed to dozens of medical breakthroughs.,science
110,The Body Keeps The Score, teaches you how to get through the difficulties that arise from your traumatic past by revealing the psychology behind them and revealing some of the techniques therapists use to help victims recover.,science
111,How To Change Your Mind," reveals new evidence on psychedelics, confirming their power to cure mental illness, ease depression and addiction, and help people die more peacefully.  ",science
112,Maybe You Should Talk To Someone, will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really works from the point of view of an experienced therapist who also found herself needing it.,science
113,A General Theory Of Love, will help you reprogram your mind for better emotional intelligence and relationships by teaching you what three psychiatrists have to say about the science of why we experience love and other emotions.,science
114,The Little Book of Lykke, gives Danish-derived and science-backed tips that will help you be happier.,science
115,Why We Sleep, will motivate you get more and better quality sleep by showing you the recent scientific findings on why sleep deprivation is bad for individuals and society.,science
116,A Universe From Nothing," will enlarge your knowledge of our expanding universe by showing you how it began, what we’re learning about it now, and what will happen to it in the future.",science
117,A Crack In Creation," will teach you all about the power of gene editing that is made possible with CRISPR by detailing how it works, the benefits and opportunities it opens up, and the ethical risks of using it on humans.",science
118,How To," will help you get better at abstract thinking as it gives solutions to some of the strangest problems in the wackiest, but still scientific, ways.",science
119,A Mind For Numbers," will teach you how to learn math and science more efficiently and get good at them by understanding how your brain absorbs and processes information, even if these subjects don’t come naturally to you.",science
120,A Beautiful Mind," tells the fascinating story of the mathematical genius, mental illness, and miraculous recovery and success of John Nash Jr.",science
121,Feral, will help you find ways to improve the well-being of humanity by illustrating the deep connection between us and Nature and offering actionable advice on how to preserve balance in our ecosystems through rewilding.,science
122,Sleep Smarter, is a collection of 21 simple tips and tricks to optimize your sleep environment once and then reap the benefits of more restful nights forever.,science
123,What If," is a compilation of well-researched, science-based answers to some of the craziest hypothetical questions you can imagine.",science
