book_id,book_title,summary,quantity
4698," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",0
1603," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",0
5111," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",2
2114," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",4
1040," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",4
3367," Outer Order, Inner Calm"," gives you advice to declutter your space and keep it orderly, to foster your inner peace and allow you to flourish.",1
5162, The Book ,is a spiritual exploration of true human nature and our place in the universe that challenges wide-spread but often misled beliefs.,3
2803,#GIRLBOSS, shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,3
4781,#GIRLBOSS, shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,1
3908,#GIRLBOSS, shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,1
3666,#GIRLBOSS, shows that even an unconventional life can lead to success when you discover your passions and improve your skills in unusual and unpredictable ways.,2
2388,10 Days To Faster Reading," helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better.",4
1825,10 Days To Faster Reading," helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better.",4
4124,10 Days To Faster Reading," helps you bring your reading skills to the current century, even if you’ve stopped developing them, like most of us, with the end of elementary school, by helping you select what to read in a better way and giving you actionable techniques to read and retain faster and better.",0
2430,10% Happier," gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life.",0
1231,10% Happier," gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life.",2
5226,10% Happier," gives skeptics an easy “in” to meditation, by taking a very non-fluffy approach to the science behind this mindfulness practice and showing you how and why letting go of your ego is important for living a stress-free life.",2
3507,10-Minute Toughness," is a hands-on guide to becoming the best version of yourself and achieving success through consistent good practices such as eating right, forming meaningful relationships, committing to your goals publicly, visualizing your achievements, and many others.",4
453,10-Minute Toughness," is a hands-on guide to becoming the best version of yourself and achieving success through consistent good practices such as eating right, forming meaningful relationships, committing to your goals publicly, visualizing your achievements, and many others.",4
4999,10-Minute Toughness," is a hands-on guide to becoming the best version of yourself and achieving success through consistent good practices such as eating right, forming meaningful relationships, committing to your goals publicly, visualizing your achievements, and many others.",2
4795,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",3
1156,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",4
3426,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",4
2824,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",3
2253,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",1
774,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",2
3918,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",1
1719,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",3
4330,12 Rules For Life," is a story-based, stern yet entertaining self-help manual for young people laying out a set of simple rules to help us become more disciplined, behave better, act with integrity, and balance our lives while enjoying them as much as we can.",4
688,13 Things Mentally Strong Parents Don’t Do," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.",2
2104,13 Things Mentally Strong Parents Don’t Do," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.",3
4251,13 Things Mentally Strong Parents Don’t Do," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.",3
1024,13 Things Mentally Strong Parents Don’t Do," teaches parents how to stop being a roadblock to their kids academic, behavioral, and emotional success by outlining ways to develop the right thinking habits.",3
2408,13 Things Mentally Strong People Don’t Do," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.",0
5221,13 Things Mentally Strong People Don’t Do," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.",3
1218,13 Things Mentally Strong People Don’t Do," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.",1
1840,13 Things Mentally Strong People Don’t Do," started as a personal reminder to not give in to bad habits in the face of adversity, but turned into a psychological guidebook to help you improve your mental strength and emotional resilience.",4
4446,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,2
4436,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,3
311,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,2
1939,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,2
4033,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,2
4144,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,1
430,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,1
439,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,4
4154,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,1
14,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,0
4,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,0
301,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,2
4023,1984, is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free.,1
4478,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.",1
3866,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.",0
62,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.",1
472,2030," uses the current trajectory of the world, based on sociological, demographic, and technological trends, to outline the changes we can expect to happen in our lives by the beginning of the next decade.",4
2294,21 Days To A Big Idea," shows you how to combine the creative and rational sides of your brain to come up with cool, new ideas and fun ways to implement them, which might even help you create a sustainable business in the long run, in as little as 21 days.",4
